Name,ID
Personal fitness trainer,1
Meditation instructor,2
Private yoga instructor,3
In-home masseuse,4
Acupuncturist,5
Chiropractor,6
Nutrition consultant,7
Meal delivery service,8
Personal chef,9
Grocery shopping and delivery,10
Errand-runner,11
Dry-cleaning delivery and pick-up,12
Seamstress or tailor services,13
Window washing,14
Home cleaning service,15
Private car service,16
Makeup artist,17
In-home hair stylist,18
Personal wardrobe stylist,19
Life coach,20
Online dating consultant / profile editor,21
Doula and birth coaching services,22
Birth photographer,23
Overnight doula service,24
Lactation consultant,25
On-demand babysitter,26
Home baby proofing consultant,27
Nanny and au pair placement service,28
Private music teacher,29
Children’s party planner,30
Birthday party character appearances,31
Children’s entertainment services,32
Private school application consultant,33
Homeschool teacher,34
Academic tutoring,35
Online English tutor,36
SAT tutoring and preparation,37
GED test preparation,38
College application consultant,39
College essay editor,40
Cover letter and resume writer,41
Elder companion and care provider,42
In-home physical therapist,43
Private nursing service,44
Pet Sitting,45
Dog walking,46
Mobile veterinary services,47
Mobile pet grooming,48
Handyman service,49
Pool servicing and maintenance,50
Lawn care,51
Locksmith services,52
Home entertainment installation,53
Home-inspection services,54
Interior painting service,55
Wallpaper installation service,56
Power washing service,57
Carpet installation service,58
Air conditioning installation and maintenance,59
Plumbing service,60
Appliance repair,61
Porcelain repair,62
Home maintenance equipment rental,63
Mobile car wash and car detailing,64
Mobile car mechanic,65
Vehicle inspection service,66
Windshield repair service,67
Virtual assistant,68
Executive headhunting,69
Language translation,70
Project manager,71
Bookkeeper,72
Certified professional accountant,73
Payroll processing service,74
Financial auditor,75
Business plan consultant,76
Office support services,77
Data analysis,78
Messenger service,79
Online course consultant,80
Freelance researcher,81
Online business coach,82
Customer service phone operator,83
Live chat customer support service,84
Graphic designer,85
Website designer,86
Marketing copywriter,87
Content writer,88
Editing and proofreading service,89
E-book ghostwriter,90
Facebook ads strategist,91
Instagram marketing strategist,92
Social media manager,93
Content marketing strategist,94
SEO strategist,95
Email marketing manager,96
Affiliate sales and marketing consultant,97
Brand photographer,98
Marketing video producer,99
Podcast producer,100
Presentation and proposal designer,101
Public relations consultant,102
Brand ambassador,103
IT systems consultant,104
Computer repair service,105
Printer and copy machine maintenance,106
Software installation service,107
Mobile IT support service,108
App developer,109
Online network installation and maintenance,110
Online security consultant,111
Data management consultant,112
Mobile notary public,113
Legal process server,114
Paralegal services,115
Private investigator,116
Contract drafting and review service,117
Rental property management,118
Local tour guide,119
Adventure tours,120
Travel agent,121
Corporate retreat coordinator,122
Cruise booking agent,123
Travel concierge services,124
Ski or snowboarding instructor,125
SCUBA diving instructor,126
Beach equipment rentals,127
Corporate event planner,128
Fundraising event coordinator,129
Trade show producer,130
Wedding planner,131
Conference marketing manager,132
Event photographer,133
Event videographer,134
Audio visual technician,135
Lighting designer,136
Live video producer,137
Bartending services,138
Event catering services,139
Custom baking,140
Event DJ,141
Photo booth rental service,142
Reunion coordinator,143
Valet parking service,144
Event furniture and equipment rental,145
